Rok 1984;George Orwell
Ostatnie Zyczenie;Andrzej Sapkowski
Zmierzch;Stephanie Meyer
Hobbit;J.R.R. Tolkien
Przed Switem;Stephanie Meyer
Krew Elfow;Andrzej Sapkowski
Miecz przeznaczenia;Andrzej Sapkowski
Folwark zwierzecy;George Orwell
Dwie wieze;J.R.R. Tolkien
Wiedzmin;Andrzej Sapkowski
Harry Potter;J.K. Rowling
Gra o tron;George R.R. Martin
Z³odziejka ksi¹¿ek;Markus Zusak
Percy Jackson;Rick Riordan
Igrzyska œmierci;Suzanne Collins
Alicja w Krainie Czarów;Lewis Carroll
Pod os³on¹ nocy;Deborah Harkness
Mistrz i Ma³gorzata;Michai³ Bu³hakow
Inkwizytor;Jörg Maurer
Miasto koœci;Cassandra Clare
Metro 2033;Dmitry Glukhovsky
Zielona Mila;Stephen King
P³on¹cy bóg;Rebecca F. Kuang
Lew, czarownica i stara szafa;C.S. Lewis
Nowy wspania³y œwiat;Aldous Huxley
Pan Lodowego Ogrodu;Jaros³aw Grzêdowicz
Szeptem;Becca Fitzpatrick
Legion nieœmiertelnych;B.V. Larson
Œwiat Burz;B.V. Larson
Ciemnonoc;Shannon Messenger
Pieœñ lodu i ognia;George R.R. Martin
Diuna;Frank Herbert
Archiwum Burzowego Œwiat³a;Brandon Sanderson
Wojna makowa;Rebecca F. Kuang
Okrutny ksi¹¿ê;Holly Black
Hyperion;Dan Simmons
Zwiadowcy;John Flanagan
Dwór cierni i ró¿;Sarah J. Maas
Zanim wystygnie kawa;Toshikazu Kawaguchi
Szklany tron;Sarah J. Maas
W³adca Pierœcieni;J.R.R Tolkien
Cykl Demoniczny;Peter V. Brett
Kroniki Królobójcy;Patrick Rothfuss
Niekoñcz¹ca siê historia;Michael Ende
Pan Lodowego Ogrodu;Jaros³aw Grzêdowicz
Archiwum Burzowego Œwiat³a;Brandon Sanderson
Krew i popió³;Jennifer Lynn Armentrout
Mg³y Avalonu;Marion Zimmer Bradley
Mitologia nordycka;Neil Gaiman
Czarna Kompania;Glen Cook
Basniowa Opowiesc;Stephen King
Ksiega nocy;Holly Black
Ko³o Czasu;Robert Jordan
Mroczna Wie¿a;Stephen King
Kroniki Amberu;Roger Zelazny
Hyperion;Dan Simmons
Endymion;Dan Simmons
Ksiêga Nowego S³oñca,;Gene Wolfe
Kroniki Królobójcy;Patrick Rothfuss
Pierwsze prawo;Joe Abercrombie
Zapomniane Krainy;Robert Salvatore
Królestwo nikczemnych;Kerri Maniscalco
Death;Sienna Moreau
Harry Potter i Kamieñ Filozoficzny;J.K. Rowling
Harry Potter i Komnata Tajemnic;J.K. Rowling
Harry Potter i wiêzieñ Azkabanu;J.K. Rowling
Harry Potter i Czara Ognia;J.K. Rowling
Harry Potter i Zakon Feniksa;J.K. Rowling
Harry Potter i Ksi¹¿ê Pó³krwi;J.K. Rowling
Niezgodna;Veronica Roth
Miasto upad³ych anio³ów;Cassandra Clare
Dziedzictwo;Christopher Paolini
Miasto zagubionych dusz;Cassandra Clare
Szóstka wron;Leigh Bardugo
Miasto niebiañskiego ognia;Cassandra Clare
Dwór mgie³ i furii;Sarah J. Maas
Dziedzictwo ognia;Sarah J. Maas
Dwór skrzyde³ i zguby;Sarah J. Maas
Tron w ruinach;K.F. Breene
Iluzje;Alina Duchnowska
Darkfever;Moning Karen Marie
Babel;Kuang Rebecca F.
Zimowy ¿o³nierz;Lee Mackenzi
Dziedzictwo ognia;Maas Sarah J.
Katedra;Dukaj Jacek
Star Wars;Scott Cavan
Dom Ziemi i Krwi;Maas Sarah J.
Korona w mroku;Maas Sarah J.
Sezon burz;Sapkowski Andrzej
Dom Nieba i Oddechu;Maas Sarah J.
Wie¿a œwitu;Maas Sarah J.
Instytut;Stephen King
Oczy smoka;Stephen King
Wilki z Calla;Stephen King
Ksiêga zaginionych opowieœci;J.R.R. Tolkien
Silmarillion;J.R.R. Tolkien
Portret Doriana Graya;Oscar Wilde
Chór zapomnianych g³osów;Remigiusz Mróz
Outsider;Stephen King
Nekroskop;Brian Lumley
Rzeka zaklêta;Rebecca Ross
Kwiaty dla Algernona;Daniel Keyes
Kosiarze;Neal Shusterman
Republika smoka;Rebecca F. Kuang
Smêtarz dla zwierzat;Stephen King
Bractwo pierœcienia;J. R. R. Tolkien
W ruinach ró¿;K. F. Breene
Tron w ruinach;K. F. Breene
Gild;Kennedy Raven
Dom Nieba i oddechu;Maas Sarah J.
Ariadna;Jennifer Saint
